C1	C2	xcorr	rms
0.3	 0.05	 0.9997268903389758	 15.601021518238563
0.3	 0.15	 0.9995067373906901	 17.211110504438672
0.3	 0.25	 0.9993702743552279	 16.373101448487542
0.3	 0.35	 0.9992221606906323	 15.503460055279508
0.3	 0.45	 0.9990572672695655	 14.804814346593355
0.3	 0.55	 0.9988769704622525	 14.353776091729634
0.4	 0.05	 0.9996478917431229	 12.962150669738895
0.4	 0.15	 0.9993900059750307	 12.398661352999826
0.4	 0.25	 0.9989483683803072	 11.516194597497575
0.4	 0.35	 0.9984110167221276	 11.456905809441247
0.4	 0.45	 0.9978281549875037	 12.135497612613115
0.4	 0.55	 0.9973063402515574	 12.942219966518872
0.5	 0.05	 0.9993737946824649	 11.011352910353569
0.5	 0.15	 0.9989248076815267	 11.20958980949523
0.5	 0.25	 0.9981940033574576	 11.607885539627642
0.5	 0.35	 0.9973390216728784	 12.938554710929822
0.5	 0.45	 0.9964713652154124	 14.62408483326148
0.5	 0.55	 0.9956947997154432	 16.24790908953028
0.6000000000000001	 0.05	 0.9991886111423335	 9.669147222343659
0.6000000000000001	 0.15	 0.9986282416631089	 9.848811932379723
0.6000000000000001	 0.25	 0.9977462545924678	 10.829327132897701
0.6000000000000001	 0.35	 0.9967191035705091	 12.927205549302096
0.6000000000000001	 0.45	 0.9956599884767627	 15.171801274573038
0.6000000000000001	 0.55	 0.9947155410789426	 16.97312259140428
0.7	 0.05	 0.9991219037521206	 9.238464828140254
0.7	 0.15	 0.9985179865699997	 9.353751710937043
0.7	 0.25	 0.9975725373343917	 10.79545440284091
0.7	 0.35	 0.9964694426388958	 13.395199424417573
0.7	 0.45	 0.9953178201292342	 16.03444870411701
0.7	 0.55	 0.9942940621326817	 18.098621002828686
0.8	 0.05	 0.9991139705899115	 9.044606193066308
0.8	 0.15	 0.9985246224370963	 9.199765889385528
0.8	 0.25	 0.9975772798624356	 10.79993407145984
0.8	 0.35	 0.9964463290918422	 13.682059747112238
0.8	 0.45	 0.9952716950011671	 16.423701710794184
