C1	C2	xcorr	rms
2.49	 1.0	 0.9995607383206645	 7.3324835021288886
2.5	 1.0	 0.9995762433156312	 8.032001374108733
2.5100000000000002	 1.0	 0.9996031230297211	 8.173836406705197
2.52	 1.0	 0.9996290657645921	 7.9907136829817595
2.5300000000000002	 1.0	 0.9996034288687179	 8.11921565567208
2.54	 1.0	 0.9995705696986633	 8.225894836821876
2.5500000000000003	 1.0	 0.9995191585033877	 8.988369879914273
2.56	 1.0	 0.9994335106147744	 9.932969125335713
2.5700000000000003	 1.0	 0.9992923226722974	 10.995323034546681
2.58	 1.0	 0.9991114746647395	 11.866531670458281
2.5900000000000003	 1.0	 0.9988587013253512	 12.601787785284039
2.6	 1.0	 0.9985501485762603	 13.860851058043831
2.6100000000000003	 1.0	 0.9981747799868489	 16.603512026218475
2.62	 1.0	 0.9977455998052264	 17.90612183173634
2.6300000000000003	 1.0	 0.9973128322492566	 19.57391925732585
2.64	 1.0	 0.9969062183645154	 21.43216628961688
2.6500000000000004	 1.0	 0.9965759583752178	 22.52113889067957
2.66	 1.0	 0.996290979545586	 23.986231210687862
2.6700000000000004	 1.0	 0.9958145941620163	 25.95014906622621
2.68	 1.0	 0.9952708869050078	 27.066473337095644
