C1	C2	xcorr	rms
0.1	 0.1	 0.9932713881956129	 31.021873673282037
0.1	 0.15000000000000002	 0.9904105064067722	 36.107223620373006
0.1	 0.2	 0.9872216753325216	 39.49194461183831
0.1	 0.25	 0.9852083437812209	 41.461402800983656
0.1	 0.30000000000000004	 0.9841608282818699	 42.324971547537565
0.1	 0.35	 0.9832876642150661	 43.009957927872506
0.1	 0.4	 0.9828733748758196	 43.316061973935604
0.1	 0.45000000000000007	 0.982651297941133	 43.473058669759205
0.1	 0.5	 0.9825215460811592	 43.55666760972866
0.1	 0.55	 0.9824150994575248	 43.632175130194774
0.1	 0.6	 0.9823662374063153	 43.58876247328844
0.1	 0.65	 0.9823044406591914	 43.69204671990249
0.1	 0.7000000000000001	 0.9822677229214517	 43.70914785275921
0.1	 0.75	 0.9822469336825435	 43.71265030800571
0.1	 0.8	 0.982247841032594	 43.62205061943987
0.2	 0.1	 0.9955240447587432	 24.32869518009975
0.2	 0.15000000000000002	 0.993757237876094	 30.298829725759735
0.2	 0.2	 0.9902308219179531	 35.84687688799361
0.2	 0.25	 0.9874471109324225	 38.91509507763919
0.2	 0.30000000000000004	 0.9859448601264658	 40.400302907219306
0.2	 0.35	 0.9846656434402858	 41.434674032386866
0.2	 0.4	 0.9837668089042206	 42.119906435526715
0.2	 0.45000000000000007	 0.9832990570368328	 42.47690975761846
0.2	 0.5	 0.9830364734705156	 42.67756675778336
0.2	 0.55	 0.982866122529479	 42.80746646051538
0.2	 0.6	 0.9827329482738499	 42.90827759506593
0.2	 0.65	 0.9826462540076575	 42.964048867326966
0.2	 0.7000000000000001	 0.9825859397570921	 42.99593018145762
